category,level,region,year,quarter,registered_users
user,state,karnataka,2021,4,29459646
user,state,andhra pradesh,2021,4,22489029
user,state,rajasthan,2021,4,21977202
user,state,telangana,2021,4,20917649
user,state,west bengal,2021,4,20644527
user,state,tamil nadu,2021,4,20433142
user,state,madhya pradesh,2021,4,18456243
user,state,gujarat,2021,4,18139201
user,district,bengaluru urban,2021,4,12038775
user,district,pune,2021,4,7880431
user,district,thane,2021,4,4906492
user,district,jaipur,2021,4,4841883
user,district,mumbai suburban,2021,4,4740546
user,district,hyderabad,2021,4,4081185
user,district,ahmadabad,2021,4,3679243
user,district,rangareddy,2021,4,3523496
user,district,north twenty four parganas,2021,4,3043008
user,district,surat,2021,4,3026960
user,pincode,201301,2021,4,659549
user,pincode,110059,2021,4,555449
user,pincode,560068,2021,4,517115
user,pincode,421302,2021,4,488443
user,pincode,500072,2021,4,451595
user,pincode,122001,2021,4,440178
user,pincode,110092,2021,4,436075
user,pincode,110086,2021,4,382858
user,pincode,121004,2021,4,376910
user,pincode,560078,2021,4,368213
user,state,maharashtra,2022,1,48227630
user,state,uttar pradesh,2022,1,38999692
user,state,karnataka,2022,1,31200349
user,state,andhra pradesh,2022,1,23857951
user,state,rajasthan,2022,1,23398857
user,state,telangana,2022,1,22150612
user,state,west bengal,2022,1,21919787
user,state,tamil nadu,2022,1,21667020
user,state,madhya pradesh,2022,1,19656147
user,state,gujarat,2022,1,19265314
user,district,bengaluru urban,2022,1,12707664
user,district,pune,2022,1,8331582
user,district,thane,2022,1,5196050
user,district,jaipur,2022,1,5133527
user,district,mumbai suburban,2022,1,5017556
user,district,hyderabad,2022,1,4306136
user,district,ahmadabad,2022,1,3897869
user,district,rangareddy,2022,1,3722676
user,district,north twenty four parganas,2022,1,3224459
user,district,surat,2022,1,3210535
user,pincode,201301,2022,1,698600
user,pincode,110059,2022,1,588266
user,pincode,560068,2022,1,545827
user,pincode,421302,2022,1,518716
user,pincode,500072,2022,1,476073
user,pincode,122001,2022,1,465984
user,pincode,110092,2022,1,460951
user,pincode,110086,2022,1,406863
user,pincode,121004,2022,1,400283
user,pincode,560078,2022,1,388154
user,state,maharashtra,2022,2,50802786
user,state,uttar pradesh,2022,2,41247289
user,state,karnataka,2022,2,32831447
user,state,andhra pradesh,2022,2,25157264
user,state,rajasthan,2022,2,24716181
user,state,telangana,2022,2,23314363
user,state,west bengal,2022,2,23124388
user,state,tamil nadu,2022,2,22829720
user,state,madhya pradesh,2022,2,20766417
user,state,gujarat,2022,2,20321596
user,district,bengaluru urban,2022,2,13342916
user,district,pune,2022,2,8757249
user,district,thane,2022,2,5471749
user,district,jaipur,2022,2,5409763
user,district,mumbai suburban,2022,2,5281053
user,district,hyderabad,2022,2,4519625
user,district,ahmadabad,2022,2,4105172
user,district,rangareddy,2022,2,3911372
user,district,north twenty four parganas,2022,2,3397791
user,district,surat,2022,2,3385398
user,pincode,201301,2022,2,735907
user,pincode,110059,2022,2,619737
user,pincode,560068,2022,2,573310
user,pincode,421302,2022,2,547501
user,pincode,500072,2022,2,499269
user,pincode,122001,2022,2,490709
user,pincode,110092,2022,2,484816
user,pincode,110086,2022,2,429566
user,pincode,121004,2022,2,422488
user,pincode,560078,2022,2,407066
user,state,maharashtra,2022,3,53432602
user,state,uttar pradesh,2022,3,43537920
user,state,karnataka,2022,3,34493994
