level,region,year,quarter,count,amount,source,state
state,mizoram,2019,1,70306,218160895.39740258,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,chhattisgarh,2019,1,7887669,12544556385.328796,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,jammu & kashmir,2019,1,3584987,5951835476.521047,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,goa,2019,1,738812,1475323397.276577,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,arunachal pradesh,2019,1,226506,609950106.3139492,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,delhi,2019,1,47007327,58469131789.49733,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,uttarakhand,2019,1,5546001,7183529175.274033,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,puducherry,2019,2,580077,1211446910.127807,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
state,tamil nadu,2019,2,32171737,64207676025.75553,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
state,uttar pradesh,2019,2,58883500,98917519370.67831,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
state,madhya pradesh,2019,2,40846013,68334566380.56182,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
state,andhra pradesh,2019,2,56409015,113634518758.22931,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
state,tripura,2019,2,532558,841821482.8473747,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
state,lakshadweep,2019,2,2926,9242524.13698889,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
state,manipur,2019,2,257425,722789942.1495004,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\2.json,
